Welcome to Producer/Consumer using Locks implementation.
Would you like to use 
1) 5 Producers and 2 Consumers or
2) 2 Producers and 5 ConsumersProducer 1 placed 686 into the buffer.
Producer 1 placed 304 into the buffer.
Producer 1 placed 866 into the buffer.
Producer 1 placed 290 into the buffer.
Producer 1 placed 759 into the buffer.
Producer 1 placed 930 into the buffer.
Producer 1 placed 118 into the buffer.
Producer 2 placed 447 into the buffer.
Producer 2 placed 453 into the buffer.
Producer 3 placed 535 into the buffer.
Consumer 1 took 72 from the buffer.
Consumer 2 took 686 from the buffer.
Producer 2 placed 270 into the buffer.
Producer 5 placed 72 into the buffer.
Consumer 1 took 304 from the buffer.
Producer 1 placed 914 into the buffer.
Consumer 2 took 447 from the buffer.
Producer 2 placed 670 into the buffer.
Consumer 2 took 290 from the buffer.
Producer 4 placed 693 into the buffer.
Producer 5 placed 641 into the buffer.
Consumer 1 took 866 from the buffer.
Consumer 1 took 535 from the buffer.
Consumer 2 took 759 from the buffer.
Producer 2 placed 699 into the buffer.
Producer 3 placed 518 into the buffer.
Consumer 2 took 118 from the buffer.
Producer 1 placed 762 into the buffer.
Producer 5 placed 240 into the buffer.
Consumer 1 took 930 from the buffer.
Consumer 2 took 453 from the buffer.
Consumer 1 took 270 from the buffer.
Producer 3 placed 374 into the buffer.
Producer 4 placed 750 into the buffer.
Consumer 2 took 914 from the buffer.
Producer 2 placed 689 into the buffer.
Consumer 1 took 670 from the buffer.
Producer 5 placed 746 into the buffer.
Consumer 2 took 641 from the buffer.
Producer 1 placed 293 into the buffer.
Consumer 1 took 693 from the buffer.
Producer 4 placed 625 into the buffer.
Consumer 2 took 699 from the buffer.
Producer 2 placed 567 into the buffer.
Producer 5 placed 464 into the buffer.
Consumer 1 took 518 from the buffer.
Consumer 1 took 762 from the buffer.
Producer 4 placed 440 into the buffer.
Producer 3 placed 902 into the buffer.
Consumer 2 took 240 from the buffer.
Consumer 2 took 750 from the buffer.
Producer 5 placed 951 into the buffer.
Consumer 1 took 374 from the buffer.
Producer 4 placed 320 into the buffer.
Consumer 2 took 746 from the buffer.
Producer 3 placed 356 into the buffer.
Consumer 1 took 689 from the buffer.
Producer 2 placed 513 into the buffer.
Consumer 1 took 625 from the buffer.
Consumer 2 took 293 from the buffer.
Producer 4 placed 243 into the buffer.
Producer 3 placed 873 into the buffer.
Consumer 2 took 567 from the buffer.
Producer 5 placed 173 into the buffer.
Producer 2 placed 736 into the buffer.
Consumer 1 took 464 from the buffer.
Consumer 2 took 440 from the buffer.
Producer 3 placed 279 into the buffer.
Consumer 1 took 902 from the buffer.
Producer 2 placed 312 into the buffer.
Consumer 2 took 951 from the buffer.
Producer 1 placed 816 into the buffer.
Consumer 1 took 320 from the buffer.
Producer 3 placed 586 into the buffer.
Consumer 2 took 356 from the buffer.
Producer 4 placed 552 into the buffer.
Consumer 1 took 513 from the buffer.
Producer 5 placed 463 into the buffer.
Consumer 2 took 243 from the buffer.
Producer 3 placed 294 into the buffer.
Consumer 1 took 873 from the buffer.
Producer 4 placed 32 into the buffer.
Consumer 2 took 736 from the buffer.
Producer 5 placed 669 into the buffer.
Consumer 1 took 173 from the buffer.
Producer 3 placed 699 into the buffer.
Consumer 2 took 279 from the buffer.
Producer 4 placed 583 into the buffer.
Consumer 1 took 312 from the buffer.
Producer 5 placed 983 into the buffer.
Consumer 2 took 816 from the buffer.
Producer 3 placed 335 into the buffer.
Consumer 1 took 586 from the buffer.
Producer 4 placed 253 into the buffer.
Consumer 2 took 552 from the buffer.
Producer 5 placed 278 into the buffer.
Consumer 1 took 463 from the buffer.
Producer 3 placed 149 into the buffer.
Consumer 2 took 294 from the buffer.
Producer 4 placed 557 into the buffer.
Consumer 1 took 32 from the buffer.
Producer 5 placed 725 into the buffer.
Consumer 2 took 669 from the buffer.
Producer 3 placed 758 into the buffer.
Consumer 1 took 699 from the buffer.
Producer 4 placed 143 into the buffer.
Producer 5 placed 934 into the buffer.
Consumer 2 took 583 from the buffer.
Consumer 1 took 983 from the buffer.
Producer 3 placed 721 into the buffer.
Consumer 2 took 335 from the buffer.
Producer 4 placed 127 into the buffer.
Consumer 1 took 253 from the buffer.
Producer 5 placed 541 into the buffer.
Consumer 2 took 278 from the buffer.
Producer 3 placed 118 into the buffer.
Consumer 1 took 149 from the buffer.
Producer 4 placed 822 into the buffer.
Consumer 2 took 557 from the buffer.
Producer 5 placed 134 into the buffer.
Consumer 1 took 725 from the buffer.
Producer 3 placed 931 into the buffer.
Consumer 2 took 758 from the buffer.
Producer 2 placed 96 into the buffer.
Producer 5 placed 142 into the buffer.
Consumer 1 took 143 from the buffer.
Consumer 2 took 934 from the buffer.
Producer 3 placed 889 into the buffer.
Consumer 1 took 721 from the buffer.
Producer 2 placed 626 into the buffer.
Consumer 2 took 127 from the buffer.
Producer 5 placed 575 into the buffer.
Consumer 1 took 541 from the buffer.
Producer 3 placed 276 into the buffer.
Consumer 2 took 118 from the buffer.
Producer 2 placed 96 into the buffer.
Consumer 1 took 822 from the buffer.
Producer 5 placed 732 into the buffer.
Consumer 2 took 134 from the buffer.
Producer 3 placed 934 into the buffer.
Consumer 1 took 931 from the buffer.
Producer 2 placed 797 into the buffer.
Consumer 2 took 96 from the buffer.
Producer 5 placed 589 into the buffer.
Consumer 1 took 142 from the buffer.
Producer 3 placed 691 into the buffer.
Consumer 2 took 889 from the buffer.
Producer 2 placed 74 into the buffer.
Consumer 1 took 626 from the buffer.
Producer 5 placed 541 into the buffer.
Consumer 2 took 575 from the buffer.
Producer 3 placed 501 into the buffer.
Consumer 1 took 276 from the buffer.
Producer 2 placed 645 into the buffer.
Consumer 2 took 96 from the buffer.
Producer 5 placed 979 into the buffer.
Consumer 1 took 732 from the buffer.
Producer 3 placed 227 into the buffer.
Consumer 2 took 934 from the buffer.
Producer 2 placed 643 into the buffer.
Consumer 1 took 797 from the buffer.
Producer 5 placed 374 into the buffer.
Consumer 2 took 589 from the buffer.
Producer 3 placed 844 into the buffer.
Consumer 1 took 691 from the buffer.
Producer 2 placed 740 into the buffer.
Consumer 2 took 74 from the buffer.
Producer 5 placed 647 into the buffer.
Consumer 1 took 541 from the buffer.
Producer 3 placed 948 into the buffer.
Consumer 2 took 501 from the buffer.
Producer 2 placed 409 into the buffer.
Consumer 1 took 645 from the buffer.
Producer 5 placed 929 into the buffer.
Consumer 2 took 979 from the buffer.
Producer 3 placed 397 into the buffer.
Consumer 1 took 227 from the buffer.
Producer 2 placed 827 into the buffer.
Consumer 2 took 643 from the buffer.
Producer 5 placed 609 into the buffer.
Consumer 1 took 374 from the buffer.
Producer 3 placed 318 into the buffer.
Consumer 2 took 844 from the buffer.
Producer 2 placed 408 into the buffer.
Consumer 1 took 740 from the buffer.
Producer 5 placed 349 into the buffer.
Consumer 2 took 647 from the buffer.
Producer 3 placed 818 into the buffer.
Consumer 1 took 948 from the buffer.
Producer 2 placed 132 into the buffer.
Consumer 2 took 409 from the buffer.
Producer 5 placed 764 into the buffer.
Consumer 1 took 929 from the buffer.
Producer 3 placed 199 into the buffer.
Consumer 2 took 397 from the buffer.
Producer 2 placed 458 into the buffer.
Consumer 1 took 827 from the buffer.
Producer 5 placed 81 into the buffer.
Consumer 2 took 609 from the buffer.
Producer 3 placed 187 into the buffer.
Consumer 1 took 318 from the buffer.
Producer 2 placed 886 into the buffer.
Consumer 2 took 408 from the buffer.
Producer 5 placed 738 into the buffer.
Consumer 1 took 349 from the buffer.
Producer 3 placed 309 into the buffer.
Consumer 2 took 818 from the buffer.
Producer 2 placed 452 into the buffer.
Consumer 1 took 132 from the buffer.
Producer 5 placed 311 into the buffer.
Consumer 2 took 764 from the buffer.
Producer 3 placed 317 into the buffer.
Consumer 1 took 199 from the buffer.
Producer 2 placed 475 into the buffer.
Consumer 2 took 458 from the buffer.
Producer 5 placed 385 into the buffer.
Producer 3 placed 487 into the buffer.
Consumer 1 took 81 from the buffer.
Consumer 2 took 187 from the buffer.
Consumer 1 took 886 from the buffer.
Producer 2 placed 974 into the buffer.
Producer 1 placed 257 into the buffer.
Consumer 2 took 738 from the buffer.
