Welcome to Producer/Consumer using Locks implementation.
Would you like to use 
1) 5 Producers and 2 Consumers or
2) 2 Producers and 5 ConsumersProducer 1 placed 805 into the buffer.
Producer 1 placed 554 into the buffer.
Producer 1 placed 525 into the buffer.
Producer 1 placed 969 into the buffer.
Producer 1 placed 749 into the buffer.
Producer 1 placed 900 into the buffer.
Producer 1 placed 521 into the buffer.
Producer 1 placed 289 into the buffer.
Producer 1 placed 460 into the buffer.
Producer 1 placed 347 into the buffer.
Producer 2 placed 132 into the buffer.
Consumer 1 took 805 from the buffer.
Consumer 2 took 554 from the buffer.
Consumer 3 took 525 from the buffer.
Producer 2 placed 681 into the buffer.
Producer 1 placed 767 into the buffer.
Producer 1 placed 250 into the buffer.
Consumer 4 took 969 from the buffer.
Producer 2 placed 136 into the buffer.
Consumer 5 took 749 from the buffer.
Consumer 1 took 900 from the buffer.
Producer 2 placed 779 into the buffer.
Consumer 2 took 521 from the buffer.
Consumer 4 took 460 from the buffer.
Consumer 5 took 347 from the buffer.
Consumer 3 took 289 from the buffer.
Producer 2 placed 54 into the buffer.
Producer 1 placed 973 into the buffer.
Producer 2 placed 807 into the buffer.
Producer 1 placed 632 into the buffer.
Consumer 2 took 132 from the buffer.
Consumer 1 took 250 from the buffer.
Consumer 5 took 767 from the buffer.
Producer 1 placed 753 into the buffer.
Producer 2 placed 698 into the buffer.
Consumer 3 took 681 from the buffer.
Producer 2 placed 412 into the buffer.
Producer 1 placed 250 into the buffer.
Consumer 4 took 136 from the buffer.
Producer 2 placed 130 into the buffer.
Consumer 1 took 973 from the buffer.
Producer 1 placed 358 into the buffer.
Consumer 2 took 779 from the buffer.
Consumer 5 took 54 from the buffer.
Producer 1 placed 820 into the buffer.
Producer 2 placed 897 into the buffer.
Consumer 4 took 632 from the buffer.
Consumer 3 took 807 from the buffer.
Producer 2 placed 154 into the buffer.
Producer 1 placed 221 into the buffer.
Consumer 3 took 250 from the buffer.
Producer 1 placed 530 into the buffer.
Producer 1 placed 499 into the buffer.
Consumer 4 took 412 from the buffer.
Consumer 5 took 753 from the buffer.
Producer 2 placed 73 into the buffer.
Consumer 2 took 698 from the buffer.
Producer 2 placed 765 into the buffer.
Producer 1 placed 100 into the buffer.
Consumer 1 took 130 from the buffer.
Consumer 4 took 897 from the buffer.
Consumer 2 took 221 from the buffer.
Consumer 5 took 820 from the buffer.
Consumer 3 took 358 from the buffer.
Producer 1 placed 710 into the buffer.
Producer 2 placed 862 into the buffer.
Consumer 1 took 154 from the buffer.
Producer 2 placed 876 into the buffer.
Producer 1 placed 888 into the buffer.
Producer 2 placed 901 into the buffer.
Consumer 4 took 73 from the buffer.
Consumer 3 took 100 from the buffer.
Consumer 5 took 499 from the buffer.
Consumer 2 took 530 from the buffer.
Producer 2 placed 560 into the buffer.
Producer 1 placed 982 into the buffer.
Consumer 1 took 765 from the buffer.
Producer 1 placed 386 into the buffer.
Producer 1 placed 910 into the buffer.
Producer 2 placed 133 into the buffer.
Consumer 5 took 710 from the buffer.
Consumer 2 took 876 from the buffer.
Consumer 1 took 888 from the buffer.
Producer 1 placed 360 into the buffer.
Consumer 4 took 862 from the buffer.
Producer 2 placed 870 into the buffer.
Producer 1 placed 320 into the buffer.
Consumer 3 took 901 from the buffer.
Producer 1 placed 660 into the buffer.
Producer 2 placed 608 into the buffer.
Consumer 5 took 560 from the buffer.
Consumer 1 took 910 from the buffer.
Consumer 2 took 386 from the buffer.
Producer 1 placed 250 into the buffer.
Producer 1 placed 155 into the buffer.
Producer 1 placed 703 into the buffer.
Producer 2 placed 654 into the buffer.
Consumer 3 took 133 from the buffer.
Consumer 4 took 982 from the buffer.
Producer 1 placed 501 into the buffer.
Consumer 2 took 870 from the buffer.
Consumer 5 took 660 from the buffer.
Producer 2 placed 760 into the buffer.
Producer 1 placed 18 into the buffer.
Consumer 3 took 608 from the buffer.
Consumer 4 took 320 from the buffer.
Consumer 1 took 360 from the buffer.
Producer 1 placed 152 into the buffer.
Producer 2 placed 810 into the buffer.
Producer 1 placed 379 into the buffer.
Consumer 2 took 250 from the buffer.
Producer 2 placed 71 into the buffer.
Consumer 4 took 703 from the buffer.
Consumer 3 took 155 from the buffer.
Consumer 5 took 654 from the buffer.
Producer 2 placed 61 into the buffer.
Producer 2 placed 67 into the buffer.
Producer 2 placed 821 into the buffer.
Consumer 1 took 501 from the buffer.
Producer 1 placed 370 into the buffer.
Consumer 2 took 760 from the buffer.
Consumer 5 took 152 from the buffer.
Producer 1 placed 483 into the buffer.
Producer 1 placed 870 into the buffer.
Producer 1 placed 470 into the buffer.
Producer 1 placed 432 into the buffer.
Consumer 3 took 810 from the buffer.
Consumer 1 took 379 from the buffer.
Producer 2 placed 438 into the buffer.
Consumer 4 took 18 from the buffer.
Consumer 2 took 71 from the buffer.
Producer 1 placed 971 into the buffer.
Producer 2 placed 699 into the buffer.
Consumer 5 took 370 from the buffer.
Consumer 1 took 61 from the buffer.
Consumer 3 took 67 from the buffer.
Producer 1 placed 156 into the buffer.
Producer 1 placed 712 into the buffer.
Consumer 4 took 821 from the buffer.
Producer 2 placed 379 into the buffer.
Consumer 2 took 438 from the buffer.
Consumer 5 took 870 from the buffer.
Consumer 4 took 470 from the buffer.
Producer 1 placed 16 into the buffer.
Consumer 1 took 432 from the buffer.
Producer 2 placed 625 into the buffer.
Consumer 3 took 483 from the buffer.
Producer 2 placed 196 into the buffer.
Producer 2 placed 231 into the buffer.
Producer 1 placed 792 into the buffer.
Consumer 2 took 971 from the buffer.
Producer 1 placed 519 into the buffer.
Producer 1 placed 636 into the buffer.
Producer 1 placed 508 into the buffer.
Consumer 3 took 699 from the buffer.
Producer 2 placed 569 into the buffer.
Producer 1 placed 462 into the buffer.
Consumer 4 took 712 from the buffer.
Consumer 1 took 379 from the buffer.
Consumer 5 took 156 from the buffer.
Consumer 2 took 16 from the buffer.
Consumer 3 took 231 from the buffer.
Producer 1 placed 123 into the buffer.
Producer 2 placed 435 into the buffer.
Consumer 4 took 625 from the buffer.
Consumer 1 took 792 from the buffer.
Consumer 5 took 196 from the buffer.
Producer 2 placed 956 into the buffer.
Producer 1 placed 419 into the buffer.
Producer 2 placed 264 into the buffer.
Consumer 4 took 569 from the buffer.
Producer 1 placed 435 into the buffer.
Consumer 3 took 462 from the buffer.
Consumer 2 took 508 from the buffer.
Consumer 5 took 636 from the buffer.
Producer 2 placed 245 into the buffer.
Producer 2 placed 890 into the buffer.
Producer 2 placed 908 into the buffer.
Consumer 1 took 519 from the buffer.
Producer 1 placed 707 into the buffer.
Consumer 4 took 435 from the buffer.
Producer 2 placed 110 into the buffer.
Consumer 1 took 264 from the buffer.
Producer 2 placed 415 into the buffer.
Consumer 3 took 419 from the buffer.
Consumer 5 took 956 from the buffer.
Producer 1 placed 309 into the buffer.
Consumer 2 took 123 from the buffer.
Producer 1 placed 715 into the buffer.
Producer 2 placed 517 into the buffer.
Consumer 4 took 435 from the buffer.
Producer 1 placed 200 into the buffer.
Consumer 1 took 908 from the buffer.
Consumer 2 took 890 from the buffer.
Consumer 3 took 245 from the buffer.
Consumer 5 took 707 from the buffer.
Producer 1 placed 409 into the buffer.
Producer 2 placed 974 into the buffer.
Producer 1 placed 125 into the buffer.
